Date dd.mm.yyy,Time hh:mm,"Solar declination angle, deg.","Sunrise time, h","Sunset time, h",Solar zenith angle cosine,"Solar altitude angle, deg.","Solar constant, Wh/m2",Solar irradiation at the boarder of the atmosphere PREDICTED,"Cloudiness, fact, p.u.","Temperature, fact, ˚С","Humidity, fact, %","Wind speed, fact, m/s","Solar power plant generation, fact, kWh"
14-12-2018,0.17,-23.292,8.468,16.884,0,0,1410.193,0,0.95,1,97.67,8.33,0
14-12-2018,0.21,-23.292,8.468,16.884,0,0,1410.193,0,0.95,1,93,8.06,0
14-12-2018,0.25,-23.292,8.468,16.884,0,0,1410.193,0,0.95,1,93,8.06,0
14-12-2018,0.29,-23.292,8.468,16.884,0,0,1410.193,0,0.95,1,93,8.06,0
14-12-2018,0.33,-23.292,8.468,16.884,0,0,1410.193,0,0.95,1,87,8.89,0
14-12-2018,0.38,-23.292,8.468,16.884,0.076,2.171,1410.193,50.46155682,0.95,1,87,8.06,17.64
14-12-2018,0.42,-23.292,8.468,16.884,0.198,7.879,1410.193,197.3310938,0.881,1,81,8.47,295.68
14-12-2018,0.46,-23.292,8.468,16.884,0.287,14.049,1410.193,327.1030828,0.813,1,81,8.47,777.84
14-12-2018,0.5,-23.292,8.468,16.884,0.337,18.195,1410.193,431.0713008,0.5,2,75,8.06,2913.12
14-12-2018,0.54,-23.292,8.468,16.884,0.345,19.938,1410.193,473.1051122,0,2.5,70,9.44,7662.48
14-12-2018,0.58,-23.292,8.468,16.884,0.309,19.097,1410.193,473.1051122,0,4,63,8.89,7661.64
14-12-2018,0.63,-23.292,8.468,16.884,0.233,15.761,1410.193,383.3894677,0,4,63,8.19,5513.76
14-12-2018,0.67,-23.292,8.468,16.884,0.122,10.253,1410.193,260.2004597,0,4,63,7.5,2905.56
14-12-2018,0.71,-23.292,8.468,16.884,0,3.504,1410.193,87.827575,0,3.67,67,7.04,642.6
14-12-2018,0.75,-23.292,8.468,16.884,0,0,1410.193,0,0,3,75,6.11,0
14-12-2018,0.79,-23.292,8.468,16.884,0,0,1410.193,0,0,3,75,5,0
14-12-2018,0.83,-23.292,8.468,16.884,0,0,1410.193,0,0.5,3,75,6.11,0
14-12-2018,0.88,-23.292,8.468,16.884,0,0,1410.193,0,0.5,2,87,6.11,0
14-12-2018,0.92,-23.292,8.468,16.884,0,0,1410.193,0,0.5,2,87,5.56,0
14-12-2018,0.96,-23.292,8.468,16.884,0,0,1410.193,0,0.5,2,87,6.11,0
15-12-2018,0,-23.335,8.479,16.888,0,0,1410.411,0,0.5,2,87,6.11,0
15-12-2018,0.04,-23.335,8.479,16.888,0,0,1410.411,0,0.4,2.5,84,6.11,0
15-12-2018,0.08,-23.335,8.479,16.888,0,0,1410.411,0,0.433,2.33,85,6.11,0
15-12-2018,0.13,-23.335,8.479,16.888,0,0,1410.411,0,0.5,2,87,6.11,0
15-12-2018,0.17,-23.335,8.479,16.888,0,0,1410.411,0,0.5,1,93,6.11,0
15-12-2018,0.21,-23.335,8.479,16.888,0,0,1410.411,0,0.5,0.5,93,5.28,0
15-12-2018,0.25,-23.335,8.479,16.888,0,0,1410.411,0,0.5,0,93,4.44,0
15-12-2018,0.29,-23.335,8.479,16.888,0,0,1410.411,0,0.813,0,93,6.11,0
15-12-2018,0.33,-23.335,8.479,16.888,0,0,1410.411,0,0.881,0,93,5.56,0
15-12-2018,0.38,-23.335,8.479,16.888,0.074,2.124,1410.411,50.46155682,0.95,0,93,6.94,61.32
15-12-2018,0.42,-23.335,8.479,16.888,0.196,7.789,1410.411,197.3310938,0.95,1,93,6.11,953.4
